name	type	units	description	sampling_frequency	low_cutoff	high_cutoff	notch	status
Fp1	EEG	uV	electrode	200	0.5	50	60	good
Fp2	EEG	uV	electrode	200	0.5	50	60	good
F3	EEG	uV	electrode	200	0.5	50	60	good
F4	EEG	uV	electrode	200	0.5	50	60	good
C3	EEG	uV	electrode	200	0.5	50	60	good
C4	EEG	uV	electrode	200	0.5	50	60	good
P3	EEG	uV	electrode	200	0.5	50	60	good
P4	EEG	uV	electrode	200	0.5	50	60	good
O1	EEG	uV	electrode	200	0.5	50	60	good
O2	EEG	uV	electrode	200	0.5	50	60	good
F7	EEG	uV	electrode	200	0.5	50	60	good
F8	EEG	uV	electrode	200	0.5	50	60	good
T7	EEG	uV	electrode	200	0.5	50	60	good
T8	EEG	uV	electrode	200	0.5	50	60	good
P7	EEG	uV	electrode	200	0.5	50	60	good
P8	EEG	uV	electrode	200	0.5	50	60	good
Fz	EEG	uV	electrode	200	0.5	50	60	good
Cz	EEG	uV	electrode	200	0.5	50	60	good
Pz	EEG	uV	electrode	200	0.5	50	60	good
F1	EEG	uV	electrode	200	0.5	50	60	good
F2	EEG	uV	electrode	200	0.5	50	60	good
P1	EEG	uV	electrode	200	0.5	50	60	good
P2	EEG	uV	electrode	200	0.5	50	60	good
AF3	EEG	uV	electrode	200	0.5	50	60	good
AF4	EEG	uV	electrode	200	0.5	50	60	good
P5	EEG	uV	electrode	200	0.5	50	60	good
P6	EEG	uV	electrode	200	0.5	50	60	good
FC5	EEG	uV	electrode	200	0.5	50	60	good
FC6	EEG	uV	electrode	200	0.5	50	60	good
C5	EEG	uV	electrode	200	0.5	50	60	good
C6	EEG	uV	electrode	200	0.5	50	60	good
TP7	EEG	uV	electrode	200	0.5	50	60	bad
TP8	EEG	uV	electrode	200	0.5	50	60	good
PO5	EEG	uV	electrode	200	0.5	50	60	good
PO6	EEG	uV	electrode	200	0.5	50	60	good
FpZ	EEG	uV	electrode	200	0.5	50	60	good
FCZ	EEG	uV	electrode	200	0.5	50	60	good
CPZ	EEG	uV	electrode	200	0.5	50	60	good
POZ	EEG	uV	electrode	200	0.5	50	60	good
OZ	EEG	uV	electrode	200	0.5	50	60	good
PO3	EEG	uV	electrode	200	0.5	50	60	good
PO4	EEG	uV	electrode	200	0.5	50	60	bad
CP1	EEG	uV	electrode	200	0.5	50	60	good
CP2	EEG	uV	electrode	200	0.5	50	60	good
CP3	EEG	uV	electrode	200	0.5	50	60	good
CP4	EEG	uV	electrode	200	0.5	50	60	good
C1	EEG	uV	electrode	200	0.5	50	60	good
C2	EEG	uV	electrode	200	0.5	50	60	good
F5	EEG	uV	electrode	200	0.5	50	60	good
F6	EEG	uV	electrode	200	0.5	50	60	good
FC3	EEG	uV	electrode	200	0.5	50	60	good
FC4	EEG	uV	electrode	200	0.5	50	60	good
FC1	EEG	uV	electrode	200	0.5	50	60	good
FC2	EEG	uV	electrode	200	0.5	50	60	good
CP5	EEG	uV	electrode	200	0.5	50	60	good
CP6	EEG	uV	electrode	200	0.5	50	60	good
PO7	EEG	uV	electrode	200	0.5	50	60	good
PO8	EEG	uV	electrode	200	0.5	50	60	good
